Unnamed: 0,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,Q1,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,Q1,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
saving_water,Q1,6371.0,297.0,236.0,277.0,217.0,202.0,165.0,138.0,274.0,413.0,351.0,168.0,209.0,79.0,195.0,313.0,110.0,216.0,123.0,174.0,199.0,266.0,188.0,248.0,129.0,385.0,178.0,209.0,202.0,43.0,131.0,179.0,33.0,37.0,61.0,17.0,131.0,242.0,289.0
saving_water_percentage,Q1,48.5,54.7,49.7,50.9,49.2,35.4,33.2,29.0,48.4,72.9,64.5,34.0,38.3,31.7,38.8,64.2,44.0,46.2,49.3,31.5,43.8,48.0,34.6,41.7,28.2,78.4,37.6,39.0,46.4,17.6,28.0,40.4,34.7,39.3,12.3,15.8,27.9,53.4,60.9
saving_energy,Q1,8675.0,419.0,290.0,352.0,334.0,378.0,258.0,192.0,380.0,476.0,412.0,256.0,316.0,140.0,260.0,353.0,144.0,307.0,89.0,321.0,286.0,352.0,231.0,318.0,198.0,403.0,307.0,370.0,229.0,87.0,260.0,304.0,36.0,56.0,110.0,22.0,190.0,247.0,324.0
saving_energy_percentage,Q1,66.1,77.1,61.1,64.7,75.6,66.2,51.8,40.3,67.1,84.1,75.8,52.0,57.9,56.6,51.7,72.3,57.4,65.7,35.7,58.4,63.0,63.7,42.4,53.5,43.2,82.2,65.0,68.9,52.7,35.4,55.3,68.6,38.2,60.1,22.1,21.2,40.4,54.3,68.3
using_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc_,Q1,3165.0,204.0,49.0,91.0,152.0,208.0,47.0,60.0,91.0,146.0,62.0,51.0,173.0,37.0,44.0,88.0,74.0,106.0,45.0,227.0,161.0,80.0,90.0,67.0,85.0,67.0,144.0,226.0,113.0,50.0,86.0,162.0,8.0,8.0,22.0,7.0,24.0,51.0,67.0
using_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc__percentage,Q1,24.1,37.6,10.3,16.7,34.4,36.5,9.4,12.6,16.0,25.8,11.4,10.4,31.7,14.9,8.8,17.9,29.8,22.6,17.9,41.2,35.4,14.5,16.5,11.3,18.5,13.6,30.4,42.0,25.9,20.4,18.3,36.5,8.1,8.1,4.4,6.8,5.2,11.1,14.2
saving_materials,Q1,7412.0,351.0,237.0,330.0,249.0,295.0,196.0,116.0,315.0,444.0,277.0,202.0,305.0,96.0,238.0,381.0,124.0,213.0,98.0,336.0,251.0,294.0,161.0,268.0,175.0,361.0,300.0,407.0,212.0,101.0,227.0,236.0,26.0,31.0,93.0,20.0,185.0,267.0,320.0
saving_materials_percentage,Q1,56.5,64.7,50.0,60.6,56.4,51.7,39.4,24.4,55.7,78.5,51.0,40.9,55.9,38.8,47.4,78.1,49.4,45.4,39.2,61.2,55.2,53.1,29.7,45.1,38.1,73.5,63.4,75.8,48.8,40.9,48.3,53.2,27.6,33.2,18.7,18.7,39.4,58.8,67.3
switching_to_greener_suppliers_of_materials,Q1,4369.0,238.0,136.0,189.0,156.0,189.0,92.0,126.0,194.0,297.0,213.0,80.0,153.0,61.0,99.0,210.0,94.0,95.0,105.0,145.0,160.0,129.0,76.0,202.0,115.0,193.0,135.0,210.0,190.0,77.0,186.0,204.0,23.0,11.0,29.0,4.0,63.0,190.0,227.0
switching_to_greener_suppliers_of_materials_percentage,Q1,33.3,43.8,28.7,34.7,35.3,33.1,18.6,26.4,34.4,52.5,39.1,16.2,28.1,24.4,19.7,43.1,37.4,20.3,42.2,26.4,35.3,23.3,14.1,33.9,25.0,39.3,28.6,39.1,43.6,31.4,39.6,46.0,24.7,12.2,5.9,3.8,13.4,41.9,47.8
minimising_waste,Q1,8619.0,449.0,283.0,406.0,277.0,338.0,227.0,235.0,296.0,466.0,378.0,248.0,433.0,101.0,208.0,309.0,164.0,254.0,113.0,342.0,334.0,279.0,108.0,280.0,233.0,404.0,298.0,408.0,315.0,135.0,350.0,316.0,45.0,18.0,102.0,9.0,162.0,257.0,370.0
minimising_waste_percentage,Q1,65.7,82.6,59.5,74.6,62.8,59.1,45.7,49.4,52.3,82.3,69.5,50.3,79.4,40.8,41.4,63.3,65.8,54.2,45.3,62.2,73.5,50.4,19.8,47.0,50.8,82.2,63.1,76.1,72.5,55.0,74.5,71.2,47.5,19.3,20.4,8.5,34.5,56.6,77.9
selling_your_residues_and_waste_to_another_company,Q1,2935.0,152.0,93.0,154.0,98.0,128.0,57.0,38.0,85.0,158.0,131.0,84.0,118.0,20.0,87.0,128.0,77.0,89.0,63.0,172.0,94.0,87.0,109.0,115.0,67.0,100.0,84.0,93.0,71.0,45.0,89.0,112.0,16.0,6.0,56.0,7.0,101.0,106.0,120.0
selling_your_residues_and_waste_to_another_company_percentage,Q1,22.4,28.0,19.5,28.4,22.1,22.4,11.5,8.0,15.0,27.9,24.0,17.1,21.7,8.2,17.3,26.2,30.8,19.1,25.1,31.2,20.6,15.8,20.1,19.3,14.7,20.3,17.7,17.3,16.2,18.3,18.9,25.2,16.7,6.5,11.2,6.3,21.6,23.3,25.3
recycling_by_reusing_material_or_waste_within_the_company,Q1,6307.0,262.0,127.0,256.0,184.0,223.0,180.0,260.0,188.0,434.0,278.0,157.0,262.0,125.0,74.0,163.0,132.0,106.0,112.0,310.0,211.0,204.0,297.0,204.0,170.0,250.0,235.0,304.0,294.0,83.0,248.0,241.0,15.0,15.0,69.0,16.0,99.0,195.0,324.0
recycling_by_reusing_material_or_waste_within_the_company_percentage,Q1,48.1,48.2,26.8,47.1,41.7,39.0,36.2,54.6,33.1,76.6,51.0,31.8,48.0,50.4,14.6,33.4,52.8,22.6,45.0,56.3,46.5,36.8,54.6,34.3,36.9,51.0,49.7,56.7,67.6,33.6,52.7,54.3,16.4,16.3,13.9,15.6,21.1,43.0,68.3
designing_products_that_are_easier_to_maintain_repair_or_reuse,Q1,3804.0,185.0,100.0,212.0,134.0,181.0,82.0,74.0,128.0,255.0,186.0,79.0,155.0,33.0,70.0,130.0,77.0,66.0,60.0,152.0,129.0,78.0,56.0,156.0,111.0,129.0,170.0,178.0,131.0,56.0,172.0,133.0,3.0,5.0,33.0,6.0,52.0,164.0,219.0
designing_products_that_are_easier_to_maintain_repair_or_reuse_percentage,Q1,29.0,34.0,21.1,39.0,30.4,31.7,16.5,15.5,22.6,45.1,34.3,16.1,28.4,13.3,13.9,26.6,31.0,14.1,24.0,27.7,28.4,14.1,10.2,26.2,24.2,26.2,36.0,33.1,30.2,22.9,36.6,30.0,3.6,5.8,6.6,6.2,11.1,36.1,46.2
other_do_not_read_out_,Q1,225.0,6.0,13.0,1.0,21.0,8.0,0.0,4.0,0.0,2.0,9.0,4.0,13.0,0.0,25.0,0.0,9.0,25.0,4.0,17.0,1.0,4.0,40.0,2.0,21.0,2.0,1.0,11.0,5.0,5.0,18.0,8.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0
other_do_not_read_out__percentage,Q1,1.7,1.0,2.7,0.2,4.8,1.5,0.0,0.8,0.0,0.3,1.7,0.9,2.3,0.0,5.0,0.0,3.6,5.3,1.5,3.1,0.2,0.7,7.4,0.4,4.5,0.4,0.3,2.1,1.1,2.0,3.9,1.8,0.0,3.2,10.0,0.0,0.0,0.0,0.0
none_do_not_read_out_,Q1,804.0,29.0,32.0,42.0,30.0,54.0,84.0,14.0,74.0,10.0,32.0,71.0,5.0,33.0,127.0,41.0,10.0,79.0,12.0,13.0,11.0,45.0,22.0,93.0,82.0,21.0,28.0,41.0,3.0,27.0,48.0,18.0,17.0,16.0,174.0,56.0,102.0,68.0,27.0
none_do_not_read_out__percentage,Q1,6.1,5.3,6.7,7.7,6.8,9.5,16.8,3.0,13.1,1.7,5.8,14.4,0.8,13.3,25.3,8.4,4.0,16.8,5.0,2.3,2.3,8.1,4.0,15.6,17.8,4.3,5.8,7.6,0.7,11.1,10.3,4.0,18.2,17.7,35.0,53.4,21.7,15.1,5.6
don_t_know_no_answer,Q1,169.0,0.0,7.0,0.0,5.0,4.0,2.0,14.0,0.0,0.0,0.0,7.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,28.0,14.0,0.0,1.0,6.0,0.0,5.0,10.0,3.0,13.0,0.0,4.0,15.0,0.0,5.0,3.0,1.0
don_t_know_no_answer_percentage,Q1,1.3,0.0,1.5,0.0,1.2,0.6,0.4,2.9,0.0,0.0,0.0,1.5,4.4,0.0,0.3,0.0,0.0,0.0,0.0,0.8,0.0,1.6,5.2,2.3,0.0,0.2,1.3,0.0,1.1,4.1,0.6,2.8,0.2,4.4,3.1,0.0,1.0,0.7,0.2
5_or_more_actions,Q1,5480.0,319.0,147.0,260.0,207.0,235.0,101.0,19.0,220.0,402.0,265.0,105.0,203.0,59.0,133.0,255.0,100.0,148.0,38.0,201.0,159.0,149.0,19.0,192.0,115.0,280.0,204.0,291.0,171.0,49.0,200.0,208.0,14.0,7.0,22.0,4.0,70.0,209.0,284.0
5_or_more_actions_percentage,Q1,41.8,58.7,30.9,47.8,46.8,41.2,20.2,3.9,38.9,71.1,48.7,21.4,37.2,23.6,26.4,52.2,40.1,31.6,15.1,36.6,34.9,27.0,3.5,32.2,25.1,57.1,43.0,54.2,39.2,19.9,42.5,46.8,14.9,7.8,4.4,3.8,15.0,46.1,59.9
3_or_4_actions,Q1,4116.0,126.0,151.0,145.0,103.0,149.0,115.0,243.0,131.0,104.0,130.0,120.0,255.0,62.0,95.0,122.0,118.0,119.0,148.0,274.0,254.0,179.0,273.0,119.0,108.0,134.0,111.0,125.0,223.0,79.0,120.0,133.0,19.0,30.0,56.0,14.0,91.0,72.0,103.0
3_or_4_actions_percentage,Q1,31.4,23.2,31.7,26.7,23.3,26.0,23.2,51.1,23.1,18.4,23.9,24.3,46.8,25.2,18.9,25.0,47.1,25.4,59.3,49.9,55.8,32.3,50.1,19.9,23.5,27.4,23.4,23.3,51.3,31.9,25.6,30.1,20.4,32.2,11.2,13.3,19.4,15.9,21.6
1_or_2_actions,Q1,2555.0,69.0,138.0,97.0,96.0,129.0,196.0,186.0,141.0,50.0,117.0,189.0,59.0,94.0,146.0,70.0,22.0,122.0,51.0,57.0,32.0,171.0,202.0,179.0,154.0,54.0,125.0,80.0,33.0,81.0,99.0,72.0,44.0,35.0,230.0,31.0,201.0,101.0,60.0
1_or_2_actions_percentage,Q1,19.5,12.8,29.1,17.9,21.8,22.7,39.4,39.2,25.0,8.8,21.6,38.4,10.8,37.9,29.1,14.4,8.9,26.2,20.7,10.3,7.0,30.9,37.2,30.0,33.6,11.0,26.4,14.9,7.6,33.0,21.0,16.3,46.3,37.9,46.3,29.5,42.9,22.2,12.7
no_actions,Q1,804.0,29.0,32.0,42.0,30.0,54.0,84.0,14.0,74.0,10.0,32.0,71.0,5.0,33.0,127.0,41.0,10.0,79.0,12.0,13.0,11.0,45.0,22.0,93.0,82.0,21.0,28.0,41.0,3.0,27.0,48.0,18.0,17.0,16.0,174.0,56.0,102.0,68.0,27.0
no_actions_percentage,Q1,6.1,5.3,6.7,7.7,6.8,9.5,16.8,3.0,13.1,1.7,5.8,14.4,0.8,13.3,25.3,8.4,4.0,16.8,5.0,2.3,2.3,8.1,4.0,15.6,17.8,4.3,5.8,7.6,0.7,11.1,10.3,4.0,18.2,17.7,35.0,53.4,21.7,15.1,5.6
base_total,Q2,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,Q2,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
save_water,Q2,5862.0,309.0,229.0,273.0,162.0,198.0,183.0,45.0,276.0,450.0,293.0,152.0,203.0,61.0,160.0,352.0,51.0,177.0,28.0,132.0,148.0,234.0,53.0,296.0,62.0,365.0,76.0,214.0,153.0,55.0,102.0,93.0,34.0,39.0,58.0,13.0,87.0,215.0,317.0
save_water_percentage,Q2,44.7,57.0,48.2,50.1,36.6,34.7,36.8,9.4,48.8,79.4,53.8,30.8,37.3,24.7,31.8,72.2,20.2,37.8,11.3,24.0,32.6,42.3,9.7,49.8,13.6,74.3,16.0,39.9,35.2,22.2,21.7,20.9,36.1,42.3,11.6,12.0,18.6,47.4,66.7
save_energy,Q2,7554.0,420.0,252.0,323.0,246.0,324.0,252.0,139.0,383.0,478.0,358.0,205.0,272.0,124.0,223.0,389.0,82.0,215.0,34.0,238.0,227.0,272.0,97.0,376.0,101.0,396.0,196.0,321.0,284.0,97.0,246.0,183.0,48.0,47.0,114.0,22.0,149.0,242.0,350.0
save_energy_percentage,Q2,57.6,77.3,53.1,59.5,55.6,56.7,50.7,29.2,67.7,84.4,65.9,41.6,49.9,50.2,44.4,79.8,32.9,46.0,13.7,43.4,49.8,49.2,17.8,63.2,22.0,80.6,41.5,59.7,65.2,39.5,52.4,41.1,51.2,51.1,22.8,21.1,31.7,53.3,73.6
use_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc_,Q2,4465.0,318.0,138.0,177.0,130.0,242.0,77.0,78.0,226.0,284.0,151.0,124.0,166.0,94.0,86.0,224.0,46.0,150.0,61.0,202.0,145.0,114.0,107.0,247.0,98.0,147.0,90.0,223.0,111.0,63.0,141.0,136.0,19.0,21.0,79.0,12.0,98.0,123.0,135.0
use_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc__percentage,Q2,34.0,58.6,29.0,32.6,29.5,42.4,15.4,16.5,39.9,50.3,27.8,25.1,30.5,37.9,17.2,46.0,18.6,32.1,24.4,36.8,31.9,20.7,19.7,41.5,21.4,30.0,19.0,41.4,25.5,25.4,30.1,30.5,20.2,23.0,15.9,11.7,20.9,27.1,28.4
save_materials,Q2,6141.0,337.0,235.0,291.0,184.0,260.0,215.0,102.0,290.0,457.0,226.0,161.0,223.0,88.0,222.0,372.0,58.0,189.0,39.0,181.0,177.0,229.0,66.0,323.0,83.0,349.0,137.0,266.0,181.0,87.0,219.0,118.0,27.0,44.0,91.0,10.0,102.0,267.0,331.0
save_materials_percentage,Q2,46.8,62.0,49.4,53.5,41.7,45.5,43.3,21.4,51.2,80.8,41.6,32.7,40.9,35.4,44.2,76.1,23.2,40.5,15.7,32.8,38.9,41.4,12.1,54.2,18.1,71.1,28.9,49.6,41.5,35.5,46.7,26.5,28.5,47.1,18.2,9.2,21.6,58.9,69.7
switch_to_greener_suppliers_of_materials,Q2,4535.0,281.0,165.0,192.0,130.0,204.0,113.0,87.0,243.0,369.0,222.0,105.0,115.0,70.0,117.0,266.0,45.0,91.0,47.0,137.0,47.0,146.0,72.0,255.0,74.0,228.0,79.0,203.0,235.0,57.0,205.0,109.0,9.0,13.0,44.0,4.0,59.0,229.0,260.0
switch_to_greener_suppliers_of_materials_percentage,Q2,34.6,51.8,34.6,35.3,29.3,35.7,22.7,18.3,42.9,65.2,40.9,21.3,21.0,28.4,23.3,54.5,18.0,19.4,18.8,24.9,10.2,26.5,13.2,42.9,16.0,46.5,16.7,37.8,54.1,23.3,43.5,24.6,10.1,13.9,8.8,3.9,12.5,50.4,54.8
minimise_waste,Q2,6939.0,434.0,270.0,351.0,204.0,248.0,210.0,55.0,288.0,481.0,336.0,210.0,224.0,91.0,169.0,354.0,56.0,181.0,38.0,237.0,241.0,243.0,136.0,327.0,94.0,386.0,161.0,317.0,275.0,122.0,278.0,146.0,49.0,15.0,106.0,12.0,129.0,230.0,368.0
minimise_waste_percentage,Q2,52.9,79.9,56.8,64.6,46.2,43.4,42.2,11.5,50.8,85.0,61.8,42.7,41.1,36.9,33.6,72.5,22.4,38.7,15.3,43.2,52.9,43.9,25.0,55.0,20.4,78.5,34.0,59.1,63.3,49.6,59.1,32.9,52.1,16.1,21.2,11.3,27.6,50.8,77.4
sell_your_residues_and_waste_to_another_company,Q2,2946.0,161.0,111.0,160.0,91.0,106.0,61.0,32.0,147.0,203.0,152.0,69.0,81.0,26.0,101.0,183.0,44.0,76.0,19.0,106.0,119.0,105.0,43.0,172.0,38.0,149.0,64.0,105.0,70.0,39.0,105.0,55.0,13.0,14.0,72.0,5.0,89.0,123.0,167.0
sell_your_residues_and_waste_to_another_company_percentage,Q2,22.4,29.7,23.4,29.4,20.5,18.6,12.3,6.8,26.0,35.9,27.9,14.0,14.9,10.5,20.1,37.6,17.7,16.2,7.7,19.2,26.1,18.9,7.9,28.9,8.3,30.3,13.6,19.6,16.1,15.8,22.3,12.4,14.3,14.7,14.5,5.1,18.9,27.1,35.2
recycle_by_reusing_material_or_waste_within_the_company,Q2,5399.0,262.0,145.0,224.0,166.0,207.0,156.0,100.0,232.0,449.0,231.0,113.0,193.0,78.0,72.0,178.0,72.0,110.0,27.0,187.0,171.0,187.0,91.0,270.0,91.0,259.0,110.0,290.0,252.0,76.0,237.0,114.0,26.0,12.0,50.0,21.0,103.0,198.0,325.0
recycle_by_reusing_material_or_waste_within_the_company_percentage,Q2,41.1,48.2,30.5,41.2,37.6,36.3,31.3,21.0,40.9,79.3,42.5,22.9,35.3,31.4,14.4,36.5,29.0,23.5,10.8,34.0,37.6,33.8,16.8,45.4,19.8,52.7,23.2,54.1,57.9,30.8,50.4,25.6,28.2,12.6,10.1,19.7,22.0,43.5,68.4
designing_products_that_are_easier_to_maintain_repair_or_reuse,Q2,3761.0,197.0,127.0,203.0,94.0,147.0,102.0,77.0,156.0,319.0,153.0,89.0,149.0,34.0,101.0,146.0,64.0,93.0,14.0,119.0,118.0,94.0,29.0,212.0,37.0,157.0,69.0,179.0,132.0,40.0,172.0,60.0,8.0,8.0,40.0,5.0,37.0,203.0,235.0
designing_products_that_are_easier_to_maintain_repair_or_reuse_percentage,Q2,28.7,36.3,26.7,37.3,21.2,25.8,20.5,16.1,27.5,56.3,28.2,18.0,27.3,13.7,20.1,30.0,25.7,19.8,5.7,21.6,25.8,17.1,5.4,35.6,8.0,32.1,14.6,33.4,30.4,16.2,36.5,13.5,8.5,8.5,8.0,5.1,8.0,44.7,49.6
other_do_not_read_out_,Q2,221.0,0.0,5.0,12.0,19.0,14.0,5.0,29.0,2.0,0.0,7.0,9.0,6.0,4.0,17.0,2.0,20.0,10.0,34.0,8.0,4.0,5.0,48.0,4.0,37.0,11.0,9.0,18.0,5.0,11.0,5.0,24.0,0.0,8.0,39.0,0.0,8.0,0.0,0.0
other_do_not_read_out__percentage,Q2,1.7,0.0,1.0,2.1,4.3,2.5,1.1,6.2,0.4,0.0,1.2,1.8,1.0,1.6,3.3,0.5,8.0,2.1,13.5,1.5,0.8,0.9,8.9,0.7,8.1,2.2,1.8,3.3,1.3,4.7,1.0,5.5,0.0,9.1,7.9,0.2,1.7,0.0,0.0
none_do_not_read_out_,Q2,2162.0,51.0,59.0,88.0,106.0,116.0,99.0,46.0,97.0,12.0,60.0,129.0,119.0,57.0,154.0,39.0,42.0,146.0,69.0,121.0,55.0,119.0,87.0,60.0,187.0,34.0,186.0,95.0,41.0,40.0,77.0,130.0,13.0,15.0,158.0,50.0,118.0,88.0,43.0
none_do_not_read_out__percentage,Q2,16.5,9.4,12.5,16.2,24.0,20.3,20.0,9.7,17.2,2.1,11.0,26.3,21.9,22.8,30.7,8.0,16.8,31.1,27.7,22.1,12.2,21.5,16.1,10.1,40.7,7.0,39.4,17.7,9.4,16.2,16.4,29.3,13.3,16.5,31.7,47.6,25.2,19.3,9.1
don_t_know_no_answer,Q2,345.0,3.0,26.0,0.0,18.0,11.0,6.0,23.0,2.0,4.0,8.0,18.0,26.0,3.0,21.0,0.0,11.0,12.0,37.0,40.0,5.0,9.0,62.0,5.0,0.0,1.0,4.0,2.0,12.0,31.0,10.0,21.0,3.0,2.0,25.0,6.0,11.0,16.0,5.0
don_t_know_no_answer_percentage,Q2,2.6,0.6,5.5,0.0,4.0,1.9,1.2,4.8,0.4,0.8,1.6,3.7,4.7,1.4,4.2,0.0,4.3,2.5,14.7,7.3,1.1,1.6,11.4,0.8,0.1,0.3,0.9,0.4,2.7,12.4,2.1,4.8,2.9,2.1,5.1,6.0,2.4,3.6,1.1
5_or_more_actions,Q2,5173.0,345.0,171.0,261.0,163.0,215.0,123.0,0.0,262.0,445.0,240.0,120.0,149.0,61.0,137.0,313.0,10.0,150.0,6.0,145.0,82.0,142.0,0.0,283.0,56.0,297.0,95.0,269.0,190.0,68.0,194.0,97.0,18.0,9.0,30.0,4.0,61.0,213.0,311.0
5_or_more_actions_percentage,Q2,39.4,63.5,36.0,47.9,37.0,37.6,24.7,0.0,46.2,78.6,44.1,24.3,27.4,24.6,27.2,64.2,4.2,32.0,2.4,26.4,18.1,25.7,0.0,47.6,12.2,60.6,20.1,50.1,43.6,27.4,41.3,21.9,18.9,10.0,6.0,4.2,13.0,47.0,65.4
3_or_4_actions,Q2,2775.0,74.0,103.0,96.0,53.0,111.0,102.0,64.0,82.0,68.0,88.0,63.0,201.0,47.0,59.0,86.0,100.0,56.0,55.0,183.0,233.0,131.0,98.0,85.0,44.0,96.0,63.0,42.0,172.0,35.0,82.0,65.0,25.0,35.0,73.0,9.0,56.0,49.0,69.0
